Feature | Report | Usage Page                | Usage                                      | Range     | Count | Bits | Value(s)
  b003e |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b003f |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0040 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0041 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0042 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0043 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0044 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0045 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0046 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0047 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0048 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0049 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b004a |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b004b |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b004c |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b004d |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b004e |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b004f |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0050 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0051 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0052 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0053 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0054 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0055 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0056 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0057 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0058 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0059 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b005a |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b005b |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b005c |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b005d |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b005e |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b005f |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0060 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0061 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0062 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0063 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0064 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0065 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0066 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0067 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0068 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0069 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b006a |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b006b |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b006c |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b006d |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b006e |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b006f |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0070 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0071 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0072 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0073 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0074 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0075 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0076 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0077 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0078 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b0079 |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b007a |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b007b |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b007c |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b007d |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b007e |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  b007f |     11 | Vendor Defined Page 1     | 0xff0000c7                                 | [ 0,   3] |     1 |   8  | 0
  e0000 |     14 | Vendor Defined Page 1     | 0xff0000c4                                 | [ 0, 255] |     1 |   8  | 2
  e0001 |     14 | Vendor Defined Page 1     | 0xff0000c4                                 | [ 0, 255] |     1 |   8  | 1
  e0002 |     14 | Vendor Defined Page 1     | 0xff0000c4                                 | [ 0, 255] |     1 |   8  | 0
  e0003 |     14 | Vendor Defined Page 1     | 0xff0000c4                                 | [ 0, 255] |     1 |   8  | 0
